"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"1","site",NA,NA,NA,NA,NA,NA,"C7","C7","C7","C7","C7","C7","C8","C8","C8","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","C5","C5","C5","C5","C5","C5","C5","C5","C5","C5","C5","C5","GO","GO","GO","GO","GO","GO","GO","GO","GM","GM","GM","GM","GM","GM","GM","GM","GM","GM","GM","GM","RO","RO","RO","RO","RO","RO","RO","RO","RO","RO","RO","RM","RM","RM","RM","RM","RM","RM","RM","RM","RM","RM","C7","C8","A4","A4","A5","A5","C4","C4","A6","A6","C5","C5","C5"
"2","sample_type",NA,NA,NA,NA,NA,NA,"D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","L","L","L","S","D","D","D","D","D","D","D","L","L","L","L","S","D","D","D","D","D","D","D","D","D","L","L","L","L","L","S","D","D","D","D","D","D","D","D","D","D","L","L","L","S","D","D","D","D","D","D","D","D","D","D","L","L","L","S","D","D","D","D","D","D","D","D","D","D","D","S","D","D","L","L","L","L","L","S","D","D","D","D","D","D","D","L","L","L","L","S","D","D","D","D","D","D","D","D","L","L","L","D","D","D","D","D","D","D","L","L","L","L","D","D","L","L","D","L","L","L","L","L","D","L","D"
"3","tree",NA,NA,NA,NA,NA,NA,"1","2","2","3","4","5","1","2","2","1","1","2","2","3","3","4","4","5","5","1","3","5",NA,"1","2","3","4","4","5","5","2","3","4","5",NA,"1","1","2","3","3","4","4","5","5","1","2","3","4","5",NA,"1","1","2","2","3","3","4","4","5","5","1","2","4",NA,"1","1","2","2","3","3","4","4","5","5","1","2","5",NA,"1","1","2","2","3","4","4","5","3","4","5",NA,"5","5","1","2","3","4","5",NA,"1","1","2","4","4","5","5","1","3","4","5",NA,"1","1","2","3","4","4","5","5","2","4","5","2","2","3","4","4","5","5","1","2","3","5","5","1","2","4","1","1","3","5","3","4","3","1","5"
"4","sample_loc",NA,NA,NA,NA,NA,NA,"B","T","B","B","B","T","T","B","T","B","T","B","T","B","T","B","T","B","T",NA,NA,NA,NA,"T","T","T","B","T","B","T",NA,NA,NA,NA,NA,"B","T","B","B","T","B","T","B","T",NA,NA,NA,NA,NA,NA,"B","T","B","T","B","T","B","T","B","T",NA,NA,NA,NA,"B","T","B","T","B","T","B","T","B","T",NA,NA,NA,NA,"B","T","B","T","B","B","T","B",NA,NA,NA,NA,"B","T",NA,NA,NA,NA,NA,NA,"B","T","B","B","T","B","T",NA,NA,NA,NA,NA,"B","T","B","B","B","T","B","T",NA,NA,NA,"B","T","B","B","T","B","T",NA,NA,NA,NA,"B","B",NA,NA,"B",NA,NA,NA,NA,NA,"T",NA,"T"
"5","DBH",NA,NA,NA,NA,NA,NA,"3.6","23.3","23.3","18.4","28","20","24","20.8","20.8","26","26","25.6","25.6","28.1","28.1","32","32","27.2","27.2",NA,NA,NA,NA,"18","25.3","9.3","12.1","12.1","19.1","19.1",NA,NA,NA,NA,NA,"17","17","11.7","16","16","25","25","15.8","15.8",NA,NA,NA,NA,NA,NA,"21","21","26.3","26.3","32","32","23.5","23.5","25","25",NA,NA,NA,NA,"25.9","25.9","8.9","8.9","22","22","30","30","24","24",NA,NA,NA,NA,"18.5","18.5","14.4","14.4","21","21.2","21.2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","24",NA,NA,"18",NA,NA,NA,NA,NA,"21",NA,"21"
"6","length",NA,NA,NA,NA,NA,NA,"16.2","13.5","13.5","12.6","13.2","11.5","3.6","11.9","11.9","11.5","11.5","13.5","13.5","14.2","14.2","20.3","20.3","14.5","14.5",NA,NA,NA,NA,"16.1","15.6","8.5","9.8","9.8","14.6","14.6",NA,NA,NA,NA,NA,"4.9","4.9","7.6","7.8","7.8","18.1","18.1","8.9","8.9",NA,NA,NA,NA,NA,NA,"11.6","11.6","15.2","15.2","16.4","16.4","15.8","15.8","2.3","2.3",NA,NA,NA,NA,"15.4","15.4","5.1","5.1","10.2","10.2","16.8","16.8","14.8","14.8",NA,NA,NA,NA,"10.4","10.4","8.2","8.2","2.8","13.8","13.8","5.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.5","3.6",NA,NA,"16.1",NA,NA,NA,NA,NA,"2.8",NA,"5.4"
"7","decay_stage",NA,NA,NA,NA,NA,NA,"3","2","2","3","3","4","4","2","2","2","2","3","3","2","2","2","2","2","2",NA,NA,NA,NA,"2","1","2","2","2","3","3",NA,NA,NA,NA,NA,"3","3","3","3","3","2","2","4","4",NA,NA,NA,NA,NA,NA,"2","2","2","2","3","3","3","3","4","4",NA,NA,NA,NA,"1","1","2","2","1","1","1","1","1","1",NA,NA,NA,NA,"3","3","4","4","5","3","3","5",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"3","3","6","5","5",NA,NA,NA,NA,NA,NA,NA,"4","4","3","3","3","3","3","3",NA,NA,NA,"2","2","2","4","4","5","5",NA,NA,NA,NA,"4","4",NA,NA,"2",NA,NA,NA,NA,NA,"5",NA,"5"
"8","avg_soil_moist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.28","20.28","27.38","27.38","36.06","36.06","13.56","13.56","30.04","30.04","30.04"
"9","avg_soil_ph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.156","5.156","4.518","4.518","4.716","4.716","4.066","4.066","4.852","4.852","4.852"
"20","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Archaeorhizomyces_borealis","0","0","3","1","0","3","0","0","0","0","0","0","0","36","0","7","0","0","0","0","0","1","31","5","0","26","1","0","17","2","0","0","0","0","3","0","2","0","0","3","1","0","0","0","5","0","0","0","41","2","0","0","0","0","0","1","0","0","39","4","0","0","1","0","0","0","0","0","0","1","1","3","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","249","92","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","24","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
