Plate 1,,Water_Vol,Site_sample,Site,sample_type,Tree,sample_location,DBH,Length,Decay_stage,Avg_soil_moisture,Avg_soil_pH
A,1,6.5,C7D,C7,D,1,B,3.6,16.2,3,,
A,2,6.5,C7D,C7,D,2,T,23.3,13.5,2,,
A,3,6.5,C7D,C7,D,2,B,23.3,13.5,2,,
A,4,6.5,C7D,C7,D,3,B,18.4,12.6,3,,
A,5,6.5,C7D,C7,D,4,B,28,13.2,3,,
A,6,6.5,C7D,C7,D,5,T,20,11.5,4,,
A,7,6.5,C8D,C8,D,1,T,24,3.6,4,,
A,8,5.5,C8D,C8,D,2,B,20.8,11.9,2,,
A,9,3.5,C8D,C8,D,2,T,20.8,11.9,2,,
A,10,7.5,NC,NA,NA,NC,,,,,,
A,11,6.5,A4D,A4,D,1,B,26,11.5,2,20.28,5.156
A,12,2.5,A4D,A4,D,1,T,26,11.5,2,20.28,5.156
B,1,2.5,A4D,A4,D,2,B,25.6,13.5,3,20.28,5.156
B,2,2.5,A4D,A4,D,2,T,25.6,13.5,3,20.28,5.156
B,3,6.5,A4D,A4,D,3,B,28.1,14.2,2,20.28,5.156
B,4,1.5,A4D,A4,D,3,T,28.1,14.2,2,20.28,5.156
B,5,6.5,A4D,A4,D,4,B,32,20.3,2,20.28,5.156
B,6,2.5,A4D,A4,D,4,T,32,20.3,2,20.28,5.156
B,7,3.5,A4D,A4,D,5,B,27.2,14.5,2,20.28,5.156
B,8,0.5,A4D,A4,D,5,T,27.2,14.5,2,20.28,5.156
B,9,1.5,A4L,A4,L,1,,,,,20.28,5.156
B,10,2.5,A4L,A4,L,3,,,,,20.28,5.156
B,11,5.5,A4L,A4,L,5,,,,,20.28,5.156
B,12,3.4,A4S,A4,S,NA,,,,,20.28,5.156
C,1,0.5,A5D,A5,D,1,T,18,16.1,2,27.38,4.518
C,2,6.5,A5D,A5,D,2,T,25.3,15.6,1,27.38,4.518
C,3,6.5,A5D,A5,D,3,T,9.3,8.5,2,27.38,4.518
C,4,6.5,A5D,A5,D,4,B,12.1,9.8,2,27.38,4.518
C,5,5.5,A5D,A5,D,4,T,12.1,9.8,2,27.38,4.518
C,6,3.5,A5D,A5,D,5,B,19.1,14.6,3,27.38,4.518
C,7,2.5,A5D,A5,D,5,T,19.1,14.6,3,27.38,4.518
C,8,3.5,A5L,A5,L,2,,,,,27.38,4.518
C,9,6.5,A5L,A5,L,3,,,,,27.38,4.518
C,10,6.5,A5L,A5,L,4,,,,,27.38,4.518
C,11,5.5,A5L,A5,L,5,,,,,27.38,4.518
C,12,0.5,A5S,A5,S,NA,,,,,27.38,4.518
D,1,6.5,A2D,A2,D,1,B,17,4.9,3,32.84,4.314
D,2,1.5,A2D,A2,D,1,T,17,4.9,3,32.84,4.314
D,3,5.5,A2D,A2,D,2,B,11.7,7.6,3,32.84,4.314
D,4,3.5,A2D,A2,D,3,B,16,7.8,3,32.84,4.314
D,5,1.5,A2D,A2,D,3,T,16,7.8,3,32.84,4.314
D,6,6.5,A2D,A2,D,4,B,25,18.1,2,32.84,4.314
D,7,6.5,A2D,A2,D,4,T,25,18.1,2,32.84,4.314
D,8,4.5,A2D,A2,D,5,B,15.8,8.9,4,32.84,4.314
D,9,3.5,A2D,A2,D,5,T,15.8,8.9,4,32.84,4.314
D,10,4.5,A2L,A2,L,1,,,,,32.84,4.314
D,11,5.5,A2L,A2,L,2,,,,,32.84,4.314
D,12,5.5,A2L,A2,L,3,,,,,32.84,4.314
E,1,5.5,A2L,A2,L,4,,,,,32.84,4.314
E,2,5.5,A2L,A2,L,5,,,,,32.84,4.314
E,3,0.5,A2S,A2,S,NA,,,,,32.84,4.314
E,4,6.6,C4D,C4,D,1,B,21,11.6,2,36.06,4.716
E,5,4.5,C4D,C4,D,1,T,21,11.6,2,36.06,4.716
E,6,6.5,C4D,C4,D,2,B,26.3,15.2,2,36.06,4.716
E,7,5.5,C4D,C4,D,2,T,26.3,15.2,2,36.06,4.716
E,8,5.5,C4D,C4,D,3,B,32,16.4,3,36.06,4.716
E,9,1.5,C4D,C4,D,3,T,32,16.4,3,36.06,4.716
E,10,5.5,C4D,C4,D,4,B,23.5,15.8,3,36.06,4.716
E,11,3.5,C4D,C4,D,4,T,23.5,15.8,3,36.06,4.716
E,12,6.5,C4D,C4,D,5,B,25,2.3,4,36.06,4.716
F,1,5.5,C4D,C4,D,5,T,25,2.3,4,36.06,4.716
F,2,1.5,C4L,C4,L,1,,,,,36.06,4.716
F,3,4.5,C4L,C4,L,2,,,,,36.06,4.716
F,4,5.5,C4L,C4,L,4,,,,,36.06,4.716
F,5,0.5,C4S,C4,S,NA,,,,,36.06,4.716
F,6,5.5,A6D,A6,D,1,B,25.9,15.4,1,13.56,4.066
F,7,5.5,A6D,A6,D,1,T,25.9,15.4,1,13.56,4.066
F,8,6.5,A6D,A6,D,2,B,8.9,5.1,2,13.56,4.066
F,9,5.5,A6D,A6,D,2,T,8.9,5.1,2,13.56,4.066
F,10,5.5,A6D,A6,D,3,B,22,10.2,1,13.56,4.066
F,11,5.5,A6D,A6,D,3,T,22,10.2,1,13.56,4.066
F,12,5.5,A6D,A6,D,4,B,30,16.8,1,13.56,4.066
G,1,6.5,A6D,A6,D,4,T,30,16.8,1,13.56,4.066
G,2,5.5,A6D,A6,D,5,B,24,14.8,1,13.56,4.066
G,3,6.5,A6D,A6,D,5,T,24,14.8,1,13.56,4.066
G,4,4.5,A6L,A6,L,1,,,,,13.56,4.066
G,5,5.5,A6L,A6,L,2,,,,,13.56,4.066
G,6,6.5,A6L,A6,L,5,,,,,13.56,4.066
G,7,1.5,A6S,A6,S,NA,,,,,13.56,4.066
G,8,4.5,C5D,C5,D,1,B,18.5,10.4,3,30.04,4.852
G,9,0.5,C5D,C5,D,1,T,18.5,10.4,3,30.04,4.852
G,10,6.5,C5D,C5,D,2,B,14.4,8.2,4,30.04,4.852
G,11,3.5,C5D,C5,D,2,T,14.4,8.2,4,30.04,4.852
G,12,2.5,C5D,C5,D,3,B,21,2.8,5,30.04,4.852
H,1,3.5,C5D,C5,D,4,B,21.2,13.8,3,30.04,4.852
H,2,5.5,C5D,C5,D,4,T,21.2,13.8,3,30.04,4.852
H,3,5.5,C5D,C5,D,5,B,21,5.4,5,30.04,4.852
H,4,3.4,C5D,C5,D,5,E,21,5.4,5,30.04,4.852
H,5,4.5,C5L,C5,D,3,,,,,30.04,4.852
H,6,5.5,C5L,C5,D,4,,,,,30.04,4.852
H,7,3.5,C5L,C5,D,5,,,,,30.04,4.852
H,8,2.5,C5S,C5,S,NA,,,,,30.04,4.852
H,9,1.5,GOD,GO,D,5,B,,,1,,
H,10,5.5,GOD,GO,D,5,T,,,1,,
H,11,4.5,GOL,GO,L,1,,,,,,
H,12,0.5,GOL,GO,L,2,,,,,,
