,barcode01.csv,barcode02.csv,barcode03.csv,barcode04.csv,barcode05.csv,barcode06.csv,barcode07.csv,barcode08.csv,barcode09.csv,barcode10.csv,barcode11.csv,barcode12.csv,barcode13.csv,barcode14.csv,barcode15.csv,barcode16.csv,barcode17.csv,barcode18.csv,barcode19.csv,barcode20.csv,barcode21.csv,barcode22.csv,barcode23.csv,barcode24.csv,barcode25.csv,barcode26.csv,barcode27.csv,barcode28.csv,barcode29.csv,barcode30.csv,barcode31.csv,barcode32.csv,barcode33.csv,barcode34.csv,barcode35.csv,barcode36.csv,barcode37.csv,barcode38.csv,barcode39.csv,barcode40.csv,barcode41.csv,barcode42.csv,barcode43.csv,barcode44.csv,barcode45.csv,barcode46.csv,barcode47.csv,barcode48.csv,barcode49.csv,barcode50.csv,barcode51.csv,barcode52.csv,barcode53.csv,barcode54.csv,barcode55.csv,barcode56.csv,barcode57.csv,barcode58.csv,barcode59.csv,barcode60.csv,barcode61.csv,barcode62.csv,barcode63.csv,barcode64.csv,barcode65.csv,barcode66.csv,barcode67.csv,barcode68.csv,barcode69.csv,barcode70.csv,barcode71.csv,barcode72.csv,barcode73.csv,barcode74.csv,barcode75.csv,barcode76.csv,barcode77.csv,barcode78.csv,barcode79.csv,barcode80.csv,barcode81.csv,barcode82.csv,barcode83.csv,barcode84.csv,barcode85.csv,barcode86.csv,barcode87.csv,barcode88.csv,barcode89.csv,barcode90.csv,barcode91.csv,barcode92.csv,barcode93.csv,barcode94.csv,barcode95.csv,barcode96.csv
k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Urostylida;f__Urostylida_fam_Incertae_sedis;g__Urostylida_gen_Incertae_sedis;s__Urostylida_sp,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Amoebozoa;p__Amoebozoa_phy_Incertae_sedis;c__Amoebozoa_cls_Incertae_sedis;o__Amoebozoa_ord_Incertae_sedis;f__Amoebozoa_fam_Incertae_sedis;g__Amoebozoa_gen_Incertae_sedis;s__Amoebozoa_sp,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,2,1,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0
k__Apusozoa;p__Apusozoa_phy_Incertae_sedis;c__Apusozoa_cls_Incertae_sedis;o__Apusozoa_ord_Incertae_sedis;f__Apusozoa_fam_Incertae_sedis;g__Apusozoa_gen_Incertae_sedis;s__Apusozoa_sp,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
k__Cryptista;p__Katablepharidophyta;c__Katablepharidophyta_cls_Incertae_sedis;o__Katablepharidophyta_ord_Incertae_sedis;f__Katablepharidophyta_fam_Incertae_sedis;g__Katablepharidophyta_gen_Incertae_sedis;s__Katablepharidophyta_sp,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Euglenozoa;p__Euglenozoa_phy_Incertae_sedis;c__Euglenozoa_cls_Incertae_sedis;o__Kinetoplastida;f__Trypanosomatidae;g__Leishmania;s__Leishmania_sp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp,30848,28900,21252,10,2469,3376,2575,2160,1,1,15667,2,7,1810,3,1,2886,2,2461,1,2972,1937,1862,2567,2147,1,69399,1648,1917,1,2971,1,2016,1814,10337,2553,3783,3087,1953,2065,1,2402,2434,2370,2,1,1,2187,1918,6,1974,2410,3252,2142,2317,2071,1,1825,1926,1679,2313,7809,1985,1,1999,2216,2301,16492,1,2177,3720,2032,1863,24,3,12483,2,7840,3824,4459,7747,31371,1,2565,6999,9306,1896,2,2,17818,105015,2186,3191,1340,1923,2927
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp,7,1,1,1,2,1,5,7,13734,1,4,3,58624,3,96618,3604,1,2116,3,2836,12,2,1,1,1,2176,2,1,2,3212,1,9856,2,2,9,1,10,2,4,5,15,1,4,4,3771,31403,0,7,6,17292,2,5,5,7,14,7,10551,6,4,1,2,4,2,23381,4,5,2,5,1,4,2,1,1,59284,1,4,12069,7,9,1,4,2,7536,9,2,9,1,2609,2260,30,169,2,1,4,1,5
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetales_fam_Incertae_sedis;g__Archaeorhizomycetales_gen_Incertae_sedis;s__Archaeorhizomycetales_sp,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetes_ord_Incertae_sedis;f__Archaeorhizomycetes_fam_Incertae_sedis;g__Archaeorhizomycetes_gen_Incertae_sedis;s__Archaeorhizomycetes_sp,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Arthoniaceae;g__Arthothelium;s__Arthothelium_scandinavicum,6,1,5,29951,4,2,3,6,22,19235,7,2,7,1,2,4,5,13,1,5,1,6,6,1,5,3,11,4,1,1,5,10,5,2,3,2,1,37,1,1,37289,6,4,8,8,1,4282,63,1,1,0,3,8,1,1,6,1,5,6,2,4,9,8,33,3,6,6,1,11815,9,8,5,5,9,12880,1,6,5,8,13,4,4,3,6,4,1,1,2,8,844,1,1,3,5,3,3
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Arthoniaceae;g__Diarthonis;s__Diarthonis_spadicea,104,6,6,1,125,9,124,108,1,7,598,2,9,80,10,1,6,1,82,8,5,106,4,6,6,2,9,2,6,17,7,10,93,88,444,1,10,1,111,5,1,5,107,85,4,4,6,136,1,2,3,116,172,10,5,80,7,82,99,1,2,571,114,189,112,107,119,1,6,100,11,4,2,1,7,3,1,506,145,1,394,2,1,181,272,8,6,1,4,15,4,4,4,62,4,124
