Plate 1,,Water_Vol,Site_sample,Site,sample_type,Tree,sample_location,DBH,Length,Decay_stage,Avg_soil_moisture,Avg_soil_pH
A,1,4.5,GOL,GO,L,3,,,,,,
A,2,4.5,GOL,GO,L,4,,,,,,
A,3,4.5,GOL,GO,L,5,,,,,,
A,4,1.5,GOS,GO,S,NA,,,,,,
A,5,3.5,GMTD,GMT,D,1,B,,,3,,
A,6,1.5,GMTD,GMT,D,1,T,,,3,,
A,7,1.5,GMTD,GMT,D,2,B,,,6,,
A,8,4.5,GMTD,GMT,D,2,T,,,6,,
A,9,5.5,GMTD,GMT,D,3,B,,,2,,
A,10,3.5,GMTD,GMT,D,3,T,,,2,,
A,11,6.5,GMTD,GMT,D,4,B,,,5,,
A,12,1.5,GMTD,GMT,D,4,T,,,5,,
B,1,4.5,GMTD,GMT,D,5,B,,,,,
B,2,2.5,GMTD,GMT,D,5,T,,,,,
B,3,1.5,GMTL,GMT,L,1,,,,,,
B,4,1.5,GMTL,GMT,L,2,,,,,,
B,5,0.5,GMTL,GMT,L,3,,,,,,
B,6,5.5,GMTL,GMT,L,4,,,,,,
B,7,0.5,GMTL,GMT,L,5,,,,,,
B,8,2.5,GMTS,GMT,S,NA,,,,,,
B,9,6.5,ROD,RO,D,1,B,,,4,,
B,10,5.5,ROD,RO,D,1,T,,,4,,
B,11,5.5,ROD,RO,D,2,B,,,3,,
B,12,3.5,ROD,RO,D,2,T,,,3,,
C,1,5.5,ROD,RO,D,3,B,,,3,,
C,2,3.5,ROD,RO,D,3,T,,,3,,
C,3,5.5,ROD,RO,D,4,B,,,3,,
C,4,5.5,ROD,RO,D,4,T,,,3,,
C,5,2.5,ROD,RO,D,5,B,,,3,,
C,6,0.5,ROD,RO,D,5,T,,,3,,
C,7,4.5,ROL,RO,L,2,,,,,,
C,8,2.5,ROL,RO,L,3,,,,,,
C,9,5.5,ROL,RO,L,4,,,,,,
C,10,1.5,ROL,RO,L,5,,,,,,
C,11,4.5,RMTD,RMT,D,1,B,,,4,,
C,12,6.5,RMTD,RMT,D,1,T,,,4,,
D,1,6.5,RMTD,RMT,D,2,B,,,2,,
D,2,4.5,RMTD,RMT,D,2,T,,,2,,
D,3,6.5,RMTD,RMT,D,3,B,,,2,,
D,4,5.5,RMTD,RMT,D,3,T,,,2,,
D,5,4.5,RMTD,RMT,D,4,B,,,4,,
D,6,4.5,RMTD,RMT,D,4,T,,,4,,
D,7,6.5,RMTD,RMT,D,5,B,,,5,,
D,8,5.5,RMTD,RMT,D,5,T,,,5,,
D,9,2.6,RMTL,RMT,L,1,,,,,,
D,10,6.5,RMTL,RMT,L,2,,,,,,
D,11,4.5,RMTL,RMT,L,3,,,,,,
D,12,0.5,RMTL,RMT,L,4,,,,,,
E,1,1.5,RMTL,RMT,L,5,,,,,,
E,2,6.5,C7D,C7,D,5,B,20,11.5,4,,
E,3,6.5,C8D,C8,D,1,B,24,3.6,4,,
E,4,4.5,A4L,A4,L,2,,,,,20.28,5.156
E,5,2.5,A4L,A4,L,4,,,,,20.28,5.156
E,6,6.5,A5D,A5,D,1,B,18,16.1,2,27.38,4.518
E,7,4.5,A5L,A5,L,1,,,,,27.38,4.518
E,8,2.5,A2D,A2,D,2,T,11.7,7.6,3,32.84,4.314
E,9,4.5,C4L,C4,L,3,,,,,36.06,4.716
E,10,5.5,C4L,C4,L,5,,,,,36.06,4.716
E,11,4.5,A6L,A6,L,3,,,,,13.56,4.066
E,12,5.5,A6L,A6,L,4,,,,,13.56,4.066
F,1,2.5,C5D,C5,D,3,T,21,2.8,5,30.04,4.852
F,2,3.5,C5L,C5,L,1,,,,,30.04,4.852
F,3,1.5,C5L,C5,L,2,,,,,30.04,4.852
F,4,7.5,Low_NC,NA,,,,,,,,
F,5,7.5,Low_PC,NA,,,,,,,,
F,6,2.5,NC_RODL_RMD,NA,,,,,,,,
F,7,5.5,PC_GMDL,NA,,,,,,,,
F,8,6.5,PC_C5S_ROD,NA,,,,,,,,
F,9,6.5,PC_RODL_RMD,NA,,,,,,,,
F,10,6.5,PC_RMDL,NA,,,,,,,,
F,11,4.5,PC_RM_A5,NA,,,,,,,,
F,12,3.5,PC_A2,NA,,,,,,,,
G,1,4.5,PC_21_11,NA,,,,,,,,
G,2,2.5,PC_A4D,NA,,,,,,,,
G,3,1.5,PC_A4_C5,NA,,,,,,,,
G,4,5.5,PC_C5,NA,,,,,,,,
G,5,3.5,PC_GOLGMD,NA,,,,,,,,
G,6,2.5,C5D,C5,D,5,T,21,5.4,5,30.04,4.852
G,7,7.5,PCR_NC,NA,,,,,,,,
G,8,7.5,barcode_80,NA,,,,,,,,
G,9,7.5,barcode_81,NA,,,,,,,,
G,10,7.5,barcode_82,NA,,,,,,,,
G,11,7.5,barcode_83,NA,,,,,,,,
G,12,7.5,barcode_84,NA,,,,,,,,
H,1,7.5,barcode_85,NA,,,,,,,,
H,2,7.5,barcode_86,NA,,,,,,,,
H,3,7.5,barcode_87,NA,,,,,,,,
H,4,7.5,barcode_88,NA,,,,,,,,
H,5,7.5,barcode_89,NA,,,,,,,,
H,6,7.5,barcode_90,NA,,,,,,,,
H,7,7.5,barcode_91,NA,,,,,,,,
H,8,7.5,barcode_92,NA,,,,,,,,
H,9,7.5,barcode_93,NA,,,,,,,,
H,10,7.5,barcode_94,NA,,,,,,,,
H,11,7.5,barcode_95,NA,,,,,,,,
H,12,7.5,barcode_96,NA,,,,,,,,
