"","barcode01.csv","barcode02.csv","barcode03.csv","barcode04.csv","barcode05.csv","barcode06.csv","barcode07.csv","barcode09.csv","barcode10.csv","barcode11.csv","barcode12.csv","barcode13.csv","barcode14.csv","barcode15.csv","barcode16.csv","barcode17.csv","barcode18.csv","barcode19.csv","barcode20.csv","barcode21.csv","barcode22.csv","barcode23.csv","barcode24.csv","barcode25.csv","barcode26.csv","barcode27.csv","barcode28.csv","barcode29.csv","barcode30.csv","barcode31.csv","barcode32.csv","barcode33.csv","barcode34.csv","barcode37.csv","barcode38.csv","barcode39.csv","barcode40.csv","barcode41.csv","barcode42.csv","barcode43.csv","barcode44.csv","barcode45.csv","barcode46.csv","barcode47.csv","barcode48.csv","barcode49.csv","barcode50.csv","barcode51.csv","barcode52.csv","barcode53.csv","barcode54.csv","barcode55.csv","barcode56.csv","barcode57.csv","barcode58.csv","barcode59.csv","barcode60.csv","barcode61.csv","barcode62.csv","barcode63.csv","barcode64.csv","barcode65.csv","barcode66.csv","barcode67.csv","barcode68.csv","barcode69.csv","barcode70.csv","barcode71.csv","barcode72.csv","barcode73.csv","barcode74.csv","barcode75.csv","barcode76.csv","barcode77.csv","barcode78.csv","barcode79.csv","barcode80.csv","barcode81.csv","barcode82.csv","barcode83.csv","barcode84.csv","barcode85.csv","barcode86.csv","barcode87.csv","barcode88.csv","barcode89.csv","barcode90.csv","barcode91.csv","barcode92.csv","barcode93.csv","barcode94.csv","barcode95.csv","barcode96.csv"
"k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp",92,118,448,3,1,2,34895,29,20,567,1,18304,2,2,0,139,151,1,94536,17513,1,2221,1,106,0,2328,30932,6867,109,4,0,108,1,296,575,6839,1,106,1301,2720,50627,3,2217,7384,0,96,4,1,1,18813,29759,20776,0,93,221,1,8,2059,1,10,0,95,2665,1,2,100,3,1,7,97,8644,11401,113,11437,8883,0,0,134,1,15014,16061,1,2,0,0,118,293,4313,1,1,1,1,0
"k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Arthoniaceae;g__Diarthonis;s__Diarthonis_spadicea",3,1,1,1,2,6049,1,1,1,44,1,1,16693,1,0,1,2,2277,2,4,3303,1,0,1,0,2,1,1,3,1,0,4,65,1,23,1,0,1,32,1,1,4,97,1,0,2,1,5786,1,2,3,311,0,8,20,740,1,6,1,0,0,8,3,2954,18901,1,1,0,0,1,1,2,0,2,1,0,0,1,11740,2,1,10514,13549,0,0,1,19,1,2,21350,1,0,0
"k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp",12,3,1,27430,25034,1,1,2,5,2,40586,1,1,2670,0,1,9,1,1,3,2,1,0,11,0,2,1,88,11,3436,0,1,1,8,37,213,0,1,21,1,1,1,1,149,0,1,4860,133,1,2,1,5,0,14,26,1,6203,159,28523,1,0,8,1,1,2,5,56209,0,0,1,2,71,7,2,1696,0,0,1,1,1,1,1,3,0,0,4,1,1,103871,1,8887,0,0
"k__Fungi;p__Ascomycota;c__Candelariomycetes;o__Candelariales;f__Pycnoraceae;g__Pycnora;s__Pycnora_sp",1,2,19,3,4,1,1,1,0,1,139,1,1,12,0,1,22,2,1,4,1,9,0,2,0,2,2,2,1,1,0,0,1,9,0,1,0,0,69,6,1618,254542,1,5,0,1,2,2,52689,62,146,12,0,3,3,2,2,1,2,0,0,4,1,3,1,1,1,0,0,0,4,4,1,14,3513,0,0,7,2,239,9,1,1,0,0,10,35,5,2,18,5,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Lichenoconiaceae;g__Lichenoconium;s__Lichenoconium_erodens",14,1,2,3,1,31,1,0,5,2,1659,1,141,1,1,20,1,1,1,4,2,2,1,1,0,352,13,4,11,15,0,1,12,1,3,1,0,4,1,303,5,4,2,23,0,14,2,1,3,34,4,1,0,1,1,49,2,14,1,0,0,11,10,1,6,18,34,0,0,17,162,1694,0,49,8,0,0,1,174,29,706,53,1,0,0,1,4,57,6,236,3,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella;s__Dothiorella_sp",13,16,3,1106,2,1,35,1,1,52,2,522,1,46,1,3,1,89,913,3,1,4,1,10,0,1,2616,1,2,1,0,14,2,513,159,8,0,1,78,1,5,9,3,7,0,1,41,36,2,722,5,5,0,1,2,1,2,1,1,0,0,1,73,1,252,1,3,0,0,8,169,726,0,3,6,0,0,21,32,16,1,1,2,0,0,1,1,18,1,93,32,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Capnodiales_gen_Incertae_sedis;s__Capnodiales_sp",12,3,1,1,2,1,1,1,2,1,72,3,1,1,0,1,11,2,142,1,1519,1,0,14,0,4,1,7,25,71,0,1,1,1,1,2,0,12,7,7,1,1,11,22,0,11,25,9,1,7,1986,16,0,12,1,1,19,1,5,1,0,14,1,33,654,1,5,0,0,10,2,1,0,1,2,0,0,1,28,13,48,25,32,0,0,11,2,2,2,7,72,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sp",1,14,3,4,764,229,6,0,0,0,181,1,6,17,0,18,0,5,328,192,1,1,0,1,0,6,8,7,1,0,0,0,7,4,1,2,0,0,1,126,2,2,4,1,0,9,8,273,1146,1,19,251,0,1,25,1,1444,0,19,0,0,0,1,122,43,0,11,0,0,1,20,1,0,2,60,0,0,1,12,14,4,48,3,0,0,17,23,2,21,18,137,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Sydowia;s__Sydowia_polyspora",12,18,51,57,16,1,2,7,4,5,1,15,15,56,0,14,16,4,2,5,7,28019,0,15,0,8,24,13,20,3,0,5,14,2,19,2,0,1,72,29,129,4,296,320,0,12,319,1,1,690,10,30,0,21,2,4,22,15,1192,2,0,11,7,1,161,10,3,0,0,6,26,1,10,22,1,0,0,11,24,10,18,418,3,0,0,5,1,4,1716,57,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Sydowia;s__Sydowia_sp",1,0,3,216,41,4,198,0,0,1,1,22,46,3,0,18,15,9,2,56,17,5,0,2,0,232,1,565,1,2,0,15,13,7,21,116,0,1,2,1,927,4049,2,8,0,1,1,7,2,3,17,1,0,11,41,0,70,13,11,0,0,21,1,0,8,0,203,0,0,1,79,172,2,1,26,0,0,26,19,2,2,231,20,0,0,0,20,7,1,11,5,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_fam_Incertae_sedis;g__Dothideales_gen_Incertae_sedis;s__Dothideales_sp",2,1,1,1,9,1,1,0,1,3,1,63,4,6,0,1,1,734,20,180,127,1,0,28,0,32,16,1,26,1,0,8,1,21,97,3,0,10,1,1,1,1,6,1,0,18,4,1,146,1,886,1,0,1,34,1,1,1,1,0,0,0,13,1,160,0,6,0,0,1,30,262,0,48,7,0,0,1,8,918,1,271,8,0,0,1,50,17,1,1,6,0,0
